epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8415,0,303.532,0,0,0,0,0,0,69.749,0,0,0,0
2,60.3008,0,302.96,0,0,0,0,0,0,69.8387,0,1.9934e-05,1.9934e-05,1.9934e-05
3,75.0588,0,301.226,0,0,0,0,0,0,69.9474,0,3.9736e-05,3.9736e-05,3.9736e-05
4,89.3627,0,298.92,0,0,0,0,0,0,70.0598,0,5.9406e-05,5.9406e-05,5.9406e-05
5,105.024,0,296.069,0,0,0,0,0,0,70.149,0,7.8944e-05,7.8944e-05,7.8944e-05
6,122.299,0,294.41,0,0,0,0,0,0,70.1998,0,9.835e-05,9.835e-05,9.835e-05
7,135.99,0,292.251,0,0,0,0,0,0,70.2151,0,0.000117624,0.000117624,0.000117624
8,149.329,0,289.164,0,0,0,0,0,0,70.2158,0,0.000136766,0.000136766,0.000136766
9,166.515,0,286.593,0,0,0,0,0,0,70.2024,0,0.000155776,0.000155776,0.000155776
10,183.426,0,283.683,0,0,0,0,0,0,70.2045,0,0.000174654,0.000174654,0.000174654
11,200.549,0,278.613,0,0,0,0,0,0,70.1759,0,0.0001934,0.0001934,0.0001934
12,214.698,0,274.386,0,0,0,0,0,0,70.1202,0,0.000212014,0.000212014,0.000212014
13,228.442,0,268.623,0,0,0,0,0,0,69.9907,0,0.000230496,0.000230496,0.000230496
14,242.741,0,262.844,0,0,0,0,0,0,69.8845,0,0.000248846,0.000248846,0.000248846
15,255.782,0,256.358,0,0,0,0,0,0,69.6495,0,0.000267064,0.000267064,0.000267064
16,269.418,0,249.956,0,0,0,0,0,0,69.471,0,0.00028515,0.00028515,0.00028515
17,282.615,0,243.543,0,0,0,0,0,0,69.0555,0,0.000303104,0.000303104,0.000303104
18,297.7,0,237.502,0,0,0,0,0,0,69.0555,0,0.000320926,0.000320926,0.000320926
19,311.515,0,236.655,0,0,0,0,0,0,68.8569,0,0.000338616,0.000338616,0.000338616
20,324.545,0,230.479,0,0,0,0,0,0,68.8569,0,0.000356174,0.000356174,0.000356174
21,337.995,0,231.174,0,0,0,0,0,0,68.7599,0,0.0003736,0.0003736,0.0003736
22,351.691,0,226.232,0,0,0,0,0,0,68.7599,0,0.000390894,0.000390894,0.000390894
23,365.305,0,226.13,0,0,0,0,0,0,68.5085,0,0.000408056,0.000408056,0.000408056
24,378.887,0,219.622,0,0,0,0,0,0,68.5085,0,0.000425086,0.000425086,0.000425086
25,391.796,0,218.379,0,0,0,0,0,0,67.8025,0,0.000441984,0.000441984,0.000441984
26,405.032,0,214.42,0,0,0,0,0,0,67.8025,0,0.00045875,0.00045875,0.00045875
27,418.705,0,216.011,0,0,0,0,0,0,66.9367,0,0.000475384,0.000475384,0.000475384
28,431.977,0,211.972,0,0,0,0,0,0,66.9367,0,0.000491886,0.000491886,0.000491886
29,446.194,0,211.508,0,0,0,0,0,0,65.8487,0,0.000508256,0.000508256,0.000508256
30,460.426,0,206.795,0,0,0,0,0,0,65.8487,0,0.000524494,0.000524494,0.000524494
31,474.315,0,206.71,0,0,0,0,0,0,64.6043,0,0.0005406,0.0005406,0.0005406
32,487.726,0,201.769,0,0,0,0,0,0,64.6043,0,0.000556574,0.000556574,0.000556574
33,501.515,0,203.902,0,0,0,0,0,0,63.5928,0,0.000572416,0.000572416,0.000572416
34,514.719,0,199.356,0,0,0,0,0,0,63.5928,0,0.000588126,0.000588126,0.000588126
35,528.279,0,199.072,0,0,0,0,0,0,61.9983,0,0.000603704,0.000603704,0.000603704
36,542.13,0,210.027,0,0,0,0,0,0,61.9983,0,0.00061915,0.00061915,0.00061915
37,555.716,0,195.507,0,0,0,0,0,0,59.7617,0,0.000634464,0.000634464,0.000634464
38,569.308,0,198.71,0,0,0,0,0,0,59.7617,0,0.000649646,0.000649646,0.000649646
39,582.67,0,193.774,0,0,0,0,0,0,57.5794,0,0.000664696,0.000664696,0.000664696
40,596.693,0,192.655,0,0,0,0,0,0,57.5794,0,0.000679614,0.000679614,0.000679614
41,611.717,0,191.433,0,0,0,0,0,0,55.7612,0,0.0006944,0.0006944,0.0006944
42,625.729,0,190.572,0,0,0,0,0,0,55.7612,0,0.000709054,0.000709054,0.000709054
43,639.215,0,189.38,0,0,0,0,0,0,53.2699,0,0.000723576,0.000723576,0.000723576
44,652.992,0,186.815,0,0,0,0,0,0,53.2699,0,0.000737966,0.000737966,0.000737966
45,668.853,0,188.316,0,0,0,0,0,0,50.8846,0,0.000752224,0.000752224,0.000752224
46,685.509,0,182.543,0,0,0,0,0,0,50.8846,0,0.00076635,0.00076635,0.00076635
47,699.357,0,184.233,0,0,0,0,0,0,49.3452,0,0.000780344,0.000780344,0.000780344
48,713.182,0,178.125,0,0,0,0,0,0,49.3452,0,0.000794206,0.000794206,0.000794206
49,729.453,0,178.684,0,0,0,0,0,0,48.1816,0,0.000807936,0.000807936,0.000807936
50,744.034,0,175.608,0,0,0,0,0,0,48.1816,0,0.000821534,0.000821534,0.000821534
51,757.922,0,173.905,0,0,0,0,0,0,44.6039,0,0.000835,0.000835,0.000835
52,771.055,0,185.378,0,0,0,0,0,0,44.6039,0,0.000848334,0.000848334,0.000848334
53,784.073,0,183.125,0,0,0,0,0,0,44.6039,0,0.000861536,0.000861536,0.000861536
54,797.521,0,184.12,0,0,0,0,0,0,45.5704,0,0.000874606,0.000874606,0.000874606
55,811.401,0,173.085,0,0,0,0,0,0,45.5704,0,0.000887544,0.000887544,0.000887544
56,825.546,0,173.3,0,0,0,0,0,0,45.5704,0,0.00090035,0.00090035,0.00090035
57,839.91,0,173.023,0,0,0,0,0,0,43.9608,0,0.000913024,0.000913024,0.000913024
